// File: aSPad.txt
// Data file for SeaPort projects
// Date: Sun Jul 10 10:33:24 EDT 2016
// parameters: 3 4 5 6 7 8
//   ports, docks, pships, cships, jobs, persons

// port   name index parent(null)
//    port   <string> <int> <int>
port Sialkot 10000 0
port Kandahar 10002 0
port Vainikkala 10001 0

// dock   name index parent(port)
//    dock   <string> <int> <int>
  dock Pier_5 20005 10001 30005
  dock Pier_2 20002 10000 30002
  dock Pier_12 20012 10002 30010
  dock Pier_15 20015 10002 30013
  dock Pier_17 20017 10002 40012
  dock Pier_6 20006 10001 30006
  dock Pier_10 20010 10001 40006
  dock Pier_1 20001 10000 30001
  dock Pier_13 20013 10002 30011
  dock Pier_3 20003 10000 30003
  dock Pier_7 20007 10001 30007
  dock Pier_18 20018 10002 40013
  dock Pier_4 20004 10000 30004
  dock Pier_9 20009 10001 30009
  dock Pier_14 20014 10002 30012
  dock Pier_0 20000 10000 30000
  dock Pier_16 20016 10002 30014
  dock Pier_11 20011 10001 40007
  dock Pier_8 20008 10001 30008

// pship  name index parent(dock/port) weight length width draft numPassengers numRooms numOccupied
//    pship  <string> <int> <int> <double> <double> <double> <double> <int> <int> <int>
    pship      "ZZZ_Hysterics" 30002 20002 103.71 327.92 56.43 30.23 3212 917 917
    pship             Tieclasp 30012 20014 110.03 256.90 32.12 27.33 1951 1010 975
    pship                Glory 30000 20000 137.28 399.53 128.71 39.37 1059 670 529
    pship              Bittern 30007 20007 86.97 124.82 122.03 15.32 378 256 189
    pship           Floridians 30009 20009 64.24 190.15 95.83 15.70 897 741 448
    pship          Normatively 30001 20001 141.52 229.97 40.76 31.65 166 500 83
    pship         Revocability 30010 20012 157.37 433.24 73.43 25.90 290 323 145
    pship                 Yeah 30004 20004 200.98 446.92 95.29 25.08 210 723 105
    pship              Haviour 30014 20016 122.92 281.69 43.79 41.02 635 874 317
    pship              Subplot 30006 20006 106.28 314.41 116.32 43.39 405 608 202
    pship              Insigne 30005 20005 123.07 211.20 83.67 19.05 1799 1008 899
    pship         Antisocially 30008 20008 161.94 370.17 81.84 19.40 501 176 176
    pship          Centrifuged 30011 20013 67.69 251.06 85.60 36.50 3248 955 955
    pship                Blare 30003 20003 228.31 264.15 114.17 39.85 798 500 399
    pship              Xanthic 30013 20015 203.06 358.19 69.97 41.07 422 443 211

// cship  name index parent(dock/port) weight length width draft cargoWeight cargoVolume cargoValue
//    cship  <string> <int> <int> <double> <double> <double> <double> <double> <double> <double>
    cship               Suites 40003 10000 165.91 447.15 85.83 27.07 125.09 176.80 857.43
    cship     Hypodermatically 40009 10001 165.90 106.64 103.17 25.87 64.32 192.65 177.78
    cship              Learned 40016 10002 199.49 388.49 93.41 16.72 49.79 126.62 538.08
    cship              Vomiter 40004 10000 136.79 491.46 106.72 18.97 216.16 189.62 688.14
    cship          Abscissions 40017 10002 177.25 203.16 101.09 41.84 101.98 157.04 500.69
    cship             Outlawry 40002 10000 159.34 464.02 102.60 26.08 70.91 182.31 725.76
    cship              Sunnier 40012 20017 161.48 226.97 46.07 24.54 199.93 135.03 988.18
    cship              Ragouts 40001 10000 89.37 450.62 80.62 30.90 147.58 152.89 438.61
    cship              Magical 40013 20018 71.56 338.11 93.91 43.12 97.33 121.55 560.90
    cship               Subgum 40011 10001 50.82 168.10 56.84 27.20 203.76 190.44 457.92
    cship         Apostrophize 40008 10001 115.21 460.70 44.60 37.33 199.29 170.63 810.54
    cship          Fecundation 40005 10000 137.79 197.96 39.03 44.99 157.24 148.62 236.23
    cship             Employer 40015 10002 215.31 244.05 86.23 36.64 57.49 107.78 941.42
    cship              Revisit 40014 10002 81.54 424.95 89.79 39.26 202.98 123.98 129.07
    cship            Welcoming 40007 20011 164.87 341.16 50.31 25.63 151.89 168.18 303.53
    cship               Sphere 40000 10000 221.17 204.53 39.71 27.28 151.63 159.88 978.54
